Year;tmean;lagtmean
1981;16.1;
1982;17.2;16.1
1983;16.1;17.2
1984;15.2;16.1
1985;16.0;15.2
1986;15.8;16.0
1987;16.4;15.8
1988;18.2;16.4
1989;18.5;18.2
1990;17.9;18.5
1991;17.0;17.9
1992;16.1;17.0
1993;17.7;16.1
1994;17.0;17.7
1995;18.1;17.0
1996;18.3;18.1
1997;16.9;18.3
1998;17.6;16.9
1999;17.6;17.6
2000;18.4;17.6
2001;17.2;18.4
2002;18.1;17.2
2003;17.0;18.1
2004;18.1;17.0
2005;17.9;18.1
2006;17.3;17.9
2007;17.5;17.3
2008;18.2;17.5
2009;18.1;18.2
2010;19.3;18.1
2011;19.3;19.3
2012;18.0;19.3
2013;17.0;18.0
2014;17.8;17.0
2015;18.9;17.8
2016;17.2;18.9
2017;19.7;17.2
2018;17.0;19.7
2019;18.1;17.0
2020;18.4;18.1
