x;y;low;up
Carduelis carduelis;-0.019;-0.0278;-0.0092
Chloris chloris;-0.0001;-0.0123;0.0121
Curruca communis;-0.0237;-0.0413;-0.0063
Curruca melanocephala;-0.002;-0.0084;0.0039
Erithacus rubecula;0.008;0.0047;0.012
Ficedula hypoleuca;0.006;0.0009;0.0126
Fringilla coelebs;-0.008;-0.0322;0.01095
Parus major;0.002;-0.0035;0.007
Phylloscopus collybita;-0.0006;-0.0025;0.0012
Serinus serinus;-0.005;-0.0084;-0.0016
Sylvia atricapilla;0.009;0.0048;0.0145
Sylvia borin;0.023;0.0162;0.0305
Turdus merula;0.021;-0.0433;0.086
Turdus philomelos;0.016;-0.0336;0.065
