x;y;low;up
Carduelis carduelis;0.047;-0.0151;0.109
Chloris chloris;-0.049;-0.1448;0.0481
Curruca communis;0.176;-0.004;0.3465
Curruca melanocephala;-0.002;-0.0454;0.0413
Erithacus rubecula;0.099;0.0583;0.1389
Ficedula hypoleuca;-0.006;-0.0818;0.0698
Fringilla coelebs;0.347;-0.1223;0.6584
Parus major;0.022;-0.0733;0.1178
Phylloscopus collybita;0.027;0.0121;0.0425
Serinus serinus;-0.064;-0.1162;-0.0137
Sylvia atricapilla;0.012;-0.0178;0.043
Sylvia borin;-0.039;-0.1075;0.0297
Turdus merula;0.093;-0.6441;0.8308
Turdus philomelos;0.816;0.1353;1.4592
