x;y;low;up
Carduelis carduelis;0.111;-0.0216;0.2534
Chloris chloris;-0.008;-0.1238;0.1085
Curruca communis;0.035;-0.1962;0.2766
Curruca melanocephala;-0.096;-0.1881;-0.0045
Erithacus rubecula;-0.004;-0.0713;0.0628
Ficedula hypoleuca;0.063;-0.035;0.1601
Fringilla coelebs;0.319;0.1022;0.5503
Parus major;-0.01;-0.1734;0.1621
Phylloscopus collybita;-0.02;-0.0501;0.0097
Serinus serinus;0.067;-0.0898;0.2182
Sylvia atricapilla;-0.055;-0.0909;-0.0202
Sylvia borin;-0.05;-0.1206;0.0207
Turdus merula;0.173;-0.0052;0.3527
Turdus philomelos;0.146;-0.0203;0.3132
