x;y;low;up
Carduelis carduelis;-0.114;-0.2583;0.0296
Chloris chloris;0.086;-0.0351;0.2121
Curruca communis;-0.148;-0.4028;0.1074
Curruca melanocephala;0.028;-0.0655;0.1229
Erithacus rubecula;-0.088;-0.158;-0.0185
Ficedula hypoleuca;-0.069;-0.1622;0.0208
Fringilla coelebs;-0.204;-0.4751;0.0656
Parus major;0.137;-0.0363;0.3098
Phylloscopus collybita;-0.058;-0.0878;-0.0274
Serinus serinus;-0.016;-0.1834;0.1541
Sylvia atricapilla;0.0143;-0.0217;0.0504
Sylvia borin;-0.038;-0.113;0.036
Turdus merula;-0.024;-0.2091;0.1613
Turdus philomelos;-0.014;-0.1819;0.1531
